TBA,TBA,TBA,TBA,TBA
Booth  NBC Towers 14,455,Wed,02:00 PM,05:00 PM
Gleacher Center,422,Mon,06:00 PM,09:00 PM
TBA,TBA,Thu,06:00 PM,09:00 PM
Gleacher Center,422,Tue,06:00 PM,09:00 PM
TBA,TBA,Tue,06:00 PM,09:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Charles M. Harper Center,225,Thu,01:30 PM,04:30 PM
TBA,TBA,Mon,08:30 AM,11:30 AM
TBA,TBA,Fri,12:00 PM,04:30 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Thu,08:30 AM,11:30 AM
TBA,TBA,Thu,01:30 PM,04:30 PM
Gleacher Center,304,Wed,06:00 PM,09:00 PM
Gleacher Center,304,Sat,01:30 PM,04:30 PM
TBA,TBA,Fri,08:30 AM,11:30 AM
Gleacher Center,406,Thu,06:00 PM,09:00 PM
Gleacher Center,406,Sat,09:00 AM,12:00 PM
TBA,TBA,Mon,01:30 PM,04:30 PM
TBA,TBA,Tue,01:30 PM,04:30 PM
TBA,TBA,Tue,06:00 PM,07:30 PM
Charles M. Harper Center,219,Tue,10:00 AM,11:30 AM
Charles M. Harper Center,223,Tue,10:00 AM,11:30 AM
Charles M. Harper Center,223,Tue,01:30 PM,03:00 PM
TBA,TBA,Tue,01:30 PM,03:00 PM
Charles M. Harper Center,223,Tue,04:00 PM,05:30 PM
TBA,TBA,Tue,04:00 PM,05:30 PM
Charles M. Harper Center,219,Tue,08:00 PM,09:30 PM
TBA,TBA,Tue,08:00 PM,09:30 PM
Charles M. Harper Center,219,Wed,10:00 AM,11:30 AM
Charles M. Harper Center,223,Wed,10:00 AM,11:30 AM
Charles M. Harper Center,223,Wed,03:00 PM,04:30 PM
Charles M. Harper Center,223,Thu,10:00 AM,11:30 AM
TBA,TBA,Thu,10:00 AM,11:30 AM
TBA,TBA,Thu,01:30 PM,03:00 PM
TBA,TBA,Thu,01:30 PM,03:00 PM
Gleacher Center,203,Wed,06:00 PM,07:30 PM
TBA,TBA,Wed,06:00 PM,07:30 PM
TBA,TBA,Thu,06:00 PM,07:30 PM
TBA,TBA,Thu,01:30 PM,04:30 PM
Gleacher Center,404,Thu,06:00 PM,09:00 PM
Gleacher Center,404,Sat,09:00 AM,12:00 PM
TBA,TBA,Tue,01:30 PM,04:30 PM
TBA,TBA,Wed,01:30 PM,04:30 PM
Gleacher Center,300,Tue,06:00 PM,09:00 PM
Gleacher Center,408,Thu,06:00 PM,09:00 PM
Gleacher Center,408,Sat,01:30 PM,04:30 PM
TBA,TBA,Thu,01:30 PM,04:30 PM
Gleacher Center,208,Sat,01:30 PM,04:30 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Mon,11:45 AM,01:15 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Mon,01:30 PM,04:30 PM
TBA,TBA,Mon,06:00 PM,09:00 PM
TBA,TBA,Thu,01:30 PM,04:30 PM
TBA,TBA,Wed,01:30 PM,04:30 PM
TBA,TBA,Thu,06:00 PM,09:00 PM
TBA,TBA,Mon,01:30 PM,05:30 PM
Gleacher Center,400,Mon,06:00 PM,09:00 PM
TBA,TBA,Fri,08:30 AM,11:30 AM
Gleacher Center,208,Sat,09:00 AM,12:00 PM
TBA,TBA,Tue,01:30 PM,04:30 PM
Gleacher Center,408,Tue,06:00 PM,09:00 PM
Booth  NBC Towers 13,455,Mon,02:00 PM,05:00 PM
Gleacher Center,406,Mon,06:00 PM,09:00 PM
Gleacher Center,300,Wed,06:00 PM,09:00 PM
TBA,TBA,Tue,03:00 PM,06:00 PM
TBA,TBA,Tue,01:30 PM,04:30 PM
Gleacher Center,308,Tue,06:00 PM,09:00 PM
Gleacher Center,208,Fri,06:00 PM,09:00 PM
Gleacher Center,400,Tue,06:00 PM,09:00 PM
Gleacher Center,404,Tue,06:00 PM,09:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Wed,08:30 AM,11:30 AM
TBA,TBA,Wed,01:30 PM,04:30 PM
TBA,TBA,Wed,06:00 PM,09:00 PM
Gleacher Center,204,Tue,06:00 PM,09:00 PM
TBA,TBA,Wed,08:30 AM,11:30 AM
TBA,TBA,Wed,01:30 PM,04:30 PM
Gleacher Center,406,Wed,06:00 PM,09:00 PM
TBA,TBA,Fri,08:30 AM,11:30 AM
Gleacher Center,408,Sat,09:00 AM,12:00 PM
Gleacher Center,206,Mon,06:00 PM,09:00 PM
TBA,TBA,Fri,08:30 AM,11:30 AM
TBA,TBA,Fri,01:30 PM,04:30 PM
Gleacher Center,406,Sat,01:30 PM,04:30 PM
Gleacher Center,204,Wed,06:00 PM,09:00 PM
TBA,TBA,Mon,01:30 PM,04:30 PM
Gleacher Center,406,Tue,06:00 PM,09:00 PM
TBA,TBA,Mon,08:30 AM,11:30 AM
TBA,TBA,Mon,01:30 PM,04:30 PM
Gleacher Center,308,Wed,06:00 PM,09:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Tue,03:30 PM,05:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Mon,08:30 AM,11:30 AM
TBA,TBA,Wed,01:30 PM,05:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Mon,08:30 AM,11:30 AM
TBA,TBA,Mon,01:30 PM,04:30 PM
TBA,TBA,Thu,08:30 AM,11:30 AM
Gleacher Center,206,Thu,06:00 PM,09:00 PM
Booth  NBC Towers 13,455,Sat,01:30 PM,04:30 PM
TBA,TBA,Tue,08:30 AM,11:30 AM
TBA,TBA,Thu,08:30 AM,11:30 AM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Mon,08:30 AM,11:30 AM
TBA,TBA,Tue,08:30 AM,11:30 AM
TBA,TBA,Thu,08:30 AM,11:30 AM
TBA,TBA,Thu,01:30 PM,04:30 PM
Gleacher Center,304,Fri,06:00 PM,09:00 PM
Gleacher Center,304,Sat,09:00 AM,12:00 PM
TBA,TBA,Wed,01:30 PM,04:30 PM
Gleacher Center,208,Wed,06:00 PM,09:00 PM
TBA,TBA,Thu,01:30 PM,04:30 PM
Gleacher Center,308,Thu,06:00 PM,09:00 PM
TBA,TBA,Sat,09:00 AM,12:00 PM
Charles M. Harper Center,219,Tue,01:30 PM,04:30 PM
TBA,TBA,Mon,06:00 PM,09:00 PM
TBA,TBA,Thu,01:30 PM,04:30 PM
Gleacher Center,204,Thu,06:00 PM,09:00 PM
Gleacher Center,204,Sat,09:00 AM,12:00 PM
Gleacher Center,404,Mon,06:00 PM,09:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Thu,08:30 AM,11:30 AM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Mon,08:30 AM,11:30 AM
TBA,TBA,Wed,09:00 AM,12:00 PM
TBA,TBA,Tue,08:30 AM,11:30 AM
TBA,TBA,Wed,01:30 PM,04:30 PM
Gleacher Center,206,Wed,06:00 PM,09:00 PM
TBA,TBA,Tue,08:30 AM,11:30 AM
TBA,TBA,Wed,08:30 AM,11:30 AM
Gleacher Center,404,Wed,06:00 PM,09:00 PM
Booth  NBC Towers 13,455,Mon,06:00 PM,09:00 PM
TBA,TBA,Thu,08:30 AM,11:30 AM
TBA,TBA,Thu,01:30 PM,04:30 PM
TBA,TBA,Wed,01:30 PM,04:30 PM
Gleacher Center,206,Tue,06:00 PM,09:00 PM
Gleacher Center,308,Sat,01:30 PM,04:30 PM
TBA,TBA,Thu,08:30 AM,11:30 AM
TBA,TBA,Thu,01:30 PM,04:30 PM
Gleacher Center,404,Sat,01:30 PM,04:30 PM
TBA,TBA,Tue,08:30 AM,11:30 AM
TBA,TBA,Tue,01:30 PM,04:30 PM
Gleacher Center,208,Tue,06:00 PM,09:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Tue,01:30 PM,04:30 PM
TBA,TBA,Mon,03:00 PM,06:00 PM
TBA,TBA,Tue,08:30 AM,11:30 AM
TBA,TBA,Tue,01:30 PM,04:30 PM
TBA,TBA,Mon,08:30 AM,11:30 AM
Gleacher Center,400,Sat,01:30 PM,04:30 PM
TBA,TBA,Wed,01:30 PM,04:30 PM
TBA,TBA,Thu,01:30 PM,04:30 PM
Gleacher Center,208,Thu,06:00 PM,09:00 PM
TBA,TBA,Fri,08:30 AM,11:30 AM
TBA,TBA,Wed,08:30 AM,11:30 AM
TBA,TBA,Fri,06:00 PM,09:00 PM
TBA,TBA,Mon,06:00 PM,09:00 PM
TBA,TBA,Sat,09:00 AM,12:00 PM
TBA,TBA,Wed,08:30 AM,11:30 AM
TBA,TBA,Wed,01:30 PM,04:30 PM
Gleacher Center,306,Wed,06:00 PM,09:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Wed,01:30 PM,02:50 PM
TBA,TBA,Mon,01:30 PM,04:30 PM
TBA,TBA,Thu,03:00 PM,06:00 PM
Gleacher Center,208,Mon,06:00 PM,09:00 PM
Gleacher Center,204,Mon,06:00 PM,09:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Thu,08:30 AM,11:30 AM
Gleacher Center,306,Thu,06:00 PM,09:00 PM
Gleacher Center,306,Sat,09:00 AM,12:00 PM
TBA,TBA,Tue,01:30 PM,04:30 PM
TBA,TBA,Mon,01:30 PM,04:30 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Gleacher Center,308,Thu,02:00 PM,05:00 PM
Charles M. Harper Center,219,Wed,01:30 PM,04:30 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,313,Thu,09:30 AM,10:50 AM
BioSci Learning Center,313,Fri,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Wieboldt Hall,230,Fri,10:30 AM,11:20 AM
Wieboldt Hall,230,Fri,10:30 AM,11:20 AM
TBA,TBA,Wed,11:00 AM,12:20 PM
TBA,TBA,Wed,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Harper Mem Library,102,Wed,01:30 PM,02:50 PM
Harper Mem Library,102,Wed,01:30 PM,02:50 PM
Cobb Hall,101,Wed,04:30 PM,05:50 PM
TBA,TBA,TBA,TBA,TBA
Cobb Hall,101,Wed,04:30 PM,05:50 PM
TBA,TBA,TBA,TBA,TBA
Pick Hall,407,Wed,01:30 PM,04:20 PM
Foster Hall,107,Thu,11:00 AM,12:20 PM
Foster Hall,107,Wed,03:00 PM,04:20 PM
Foster Hall,107,Wed,09:30 AM,12:20 PM
Foster Hall,107,Thu,02:00 PM,04:50 PM
Foster Hall,107,Wed,09:30 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Pick Hall,407,Wed,01:30 PM,04:20 PM
Haskell Hall,101,Wed,01:30 PM,04:20 PM
Regenstein Library,207,Tue,11:00 AM,01:50 PM
Walker Museum,403,Thu,03:00 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Cobb Hall,110,Fri,08:30 AM,09:20 AM
Kent Chem Lab,107,Fri,10:30 AM,11:20 AM
Kent Chem Lab,107,Fri,11:30 AM,12:20 PM
Kent Chem Lab,107,Fri,08:30 AM,09:20 AM
Kent Chem Lab,107,Fri,09:30 AM,10:20 AM
Kent Chem Lab,120,Fri,10:30 AM,11:20 AM
Kent Chem Lab,102,Fri,10:30 AM,11:20 AM
TBA,TBA,TBA,TBA,TBA
Kersten ,55,Tue,02:00 PM,04:50 PM
Kent Chem Lab,107,Thu,09:30 AM,10:50 AM
Kent Chem Lab,102,Mon,01:30 PM,02:50 PM
Kent Chem Lab,102,Thu,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
Kent Chem Lab,102,Thu,11:00 AM,12:20 PM
Kent Chem Lab,101,Fri,09:30 AM,10:20 AM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Kent Chem Lab,101,Thu,08:00 AM,09:20 AM
Kent Chem Lab,101,Thu,11:00 AM,12:20 PM
Cobb Hall,116,Thu,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Kent Chem Lab,102,Wed,03:00 PM,04:20 PM
Kent Chem Lab,102,Wed,03:00 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Kent Chem Lab,120,Fri,12:30 PM,01:20 PM
Stuart Hall,104,Wed,01:30 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
Kersten Phys Teach Center,309,Thu,05:30 PM,07:30 PM
Midway Studios,102,Thu,12:30 PM,03:20 PM
Cochrane-Woods Art Ctr,156,Thu,11:00 AM,12:20 PM
Cochrane-Woods Art Ctr,152,Thu,02:00 PM,03:20 PM
Harper Mem Library,104,Wed,01:30 PM,02:50 PM
Rosenwald Hall ,11,Thu,02:00 PM,03:20 PM
Crerar Library,134,Wed,03:00 PM,04:20 PM
Cobb Hall,301,Thu,09:30 AM,10:50 AM
Rosenwald Hall,329,Thu,02:00 PM,04:50 PM
Cochrane-Woods Art Ctr,157,Wed,03:00 PM,04:20 PM
Social Sciences Rsch Bldg,302,Wed,01:30 PM,02:50 PM
Crerar Library,134,Fri,12:30 PM,04:50 PM
Logan Center ,28,Tue,02:00 PM,04:50 PM
Cobb Hall,302,Fri,09:30 AM,12:20 PM
Cobb Hall,107,Mon,04:30 PM,07:20 PM
Pick Hall,319,Wed,03:00 PM,04:20 PM
Cochrane-Woods Art Ctr,153,Thu,02:00 PM,04:50 PM
Logan Center,701,Mon,09:30 AM,12:20 PM
TBA,TBA,Wed,12:30 PM,03:20 PM
Pick Hall,319,Tue,02:00 PM,04:50 PM
Walker Museum,302,Wed,09:00 AM,10:20 AM
TBA,TBA,TBA,TBA,TBA
Gates-Blake Hall,321,Thu,02:00 PM,03:20 PM
TBA,TBA,Thu,02:00 PM,04:50 PM
Logan Center,501,Mon,12:30 PM,03:20 PM
Wieboldt Hall,408,Thu,02:00 PM,03:20 PM
Pick Hall,218,Mon,01:30 PM,04:20 PM
TBA,TBA,Tue,02:00 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
Cobb Hall,202,Fri,09:30 AM,10:20 AM
Cobb Hall,202,Fri,09:30 AM,10:20 AM
Harper Mem Library,104,Thu,11:00 AM,11:50 AM
Harper Mem Library,104,Thu,11:00 AM,11:50 AM
Cobb Hall,219,Thu,11:00 AM,11:50 AM
Cobb Hall,219,Thu,11:00 AM,11:50 AM
Harper Mem Library,104,Fri,09:30 AM,10:20 AM
Harper Mem Library,104,Fri,09:30 AM,10:20 AM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Cobb Hall,430,Thu,11:00 AM,11:50 AM
Cobb Hall,409,Fri,09:30 AM,10:20 AM
Cobb Hall,403,Fri,09:30 AM,10:20 AM
Cobb Hall,403,Fri,09:30 AM,10:20 AM
Cobb Hall,409,Fri,10:30 AM,11:20 AM
Cobb Hall,409,Fri,10:30 AM,11:20 AM
Cobb Hall,403,Fri,10:30 AM,11:20 AM
Cobb Hall,403,Fri,10:30 AM,11:20 AM
Saieh Hall for Economics,102,Thu,09:30 AM,10:50 AM
Saieh Hall for Economics,102,Thu,09:30 AM,10:50 AM
Cobb Hall,219,Fri,09:30 AM,10:20 AM
Cobb Hall,219,Fri,09:30 AM,10:20 AM
Cobb Hall,430,Fri,09:30 AM,10:20 AM
Cobb Hall,430,Fri,09:30 AM,10:20 AM
Saieh Hall for Economics,102,Thu,09:30 AM,10:50 AM
Cobb Hall,430,Thu,11:00 AM,11:50 AM
Cobb Hall,409,Fri,09:30 AM,10:20 AM
Harper Mem Library,148,Thu,11:00 AM,12:20 PM
Logan Center,201,Wed,01:30 PM,02:50 PM
Logan Center,201,Thu,12:30 PM,01:50 PM
Cobb Hall,310,Thu,12:30 PM,01:50 PM
Cobb Hall,307,Thu,11:00 AM,12:20 PM
Cobb Hall,310,Thu,02:00 PM,03:20 PM
Cobb Hall,310,Wed,04:30 PM,05:50 PM
Cobb Hall,307,Mon,03:30 PM,06:30 PM
Cochrane-Woods Art Ctr,152,Wed,01:30 PM,02:50 PM
Crerar Library,134,Thu,09:30 AM,10:50 AM
Crerar Library,134,Mon,09:30 AM,12:20 PM
Logan Center,201,Thu,02:00 PM,03:20 PM
Logan Center ,14,Tue,09:30 AM,12:20 PM
Cobb Hall,311,Mon,10:30 AM,01:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
 S. University Room 10,5737,Mon,02:30 PM,05:20 PM
Crerar Library,134,Thu,09:30 AM,10:50 AM
Crerar Library,134,Mon,09:30 AM,12:20 PM
Logan Center,201,Thu,02:00 PM,03:20 PM
Logan Center ,14,Tue,09:30 AM,12:20 PM
Wieboldt Hall,102,Mon,02:30 PM,05:20 PM
Crerar Library,134,Wed,09:30 AM,12:20 PM
Classics Building,113,Tue,09:30 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Cobb Hall,311,Wed,01:30 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
Swift Hall,403,Wed,01:30 PM,02:50 PM
Swift Hall,106,Fri,01:30 PM,02:50 PM
Rosenwald Hall ,11,Wed,01:30 PM,02:50 PM
Classics Building ,21,Thu,02:00 PM,03:20 PM
Swift Hall,208,Wed,09:30 AM,12:20 PM
TBA,TBA,Wed,01:30 PM,02:50 PM
Cobb Hall,202,Thu,12:30 PM,01:50 PM
Beecher Hall,101,Tue,12:30 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
Classics Building ,21,Wed,01:30 PM,02:50 PM
Classics Building ,21,Thu,12:30 PM,01:50 PM
Classics Building ,21,Thu,09:30 AM,10:50 AM
Cobb Hall,106,Thu,12:30 PM,01:50 PM
Cobb Hall,106,Thu,09:30 AM,10:50 AM
Foster Hall,107,Wed,03:00 PM,04:20 PM
Classics Building ,21,Thu,11:00 AM,12:20 PM
Foster Hall,505,Wed,10:30 AM,01:20 PM
Regenstein Library,136,Wed,03:00 PM,04:20 PM
Cochrane-Woods Art Ctr,156,Wed,01:30 PM,04:20 PM
Swift Hall,201,Mon,09:30 AM,12:20 PM
Cobb Hall,103,Thu,02:00 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
Classics Building ,21,Thu,02:00 PM,03:20 PM
Swift Hall,208,Wed,09:30 AM,12:20 PM
Cobb Hall,202,Thu,12:30 PM,01:50 PM
Beecher Hall,101,Tue,12:30 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
Classics Building ,21,Wed,01:30 PM,02:50 PM
Classics Building ,21,Thu,12:30 PM,01:50 PM
Classics Building ,21,Thu,09:30 AM,10:50 AM
Classics Building ,21,Thu,11:00 AM,12:20 PM
Foster Hall,505,Wed,10:30 AM,01:20 PM
Regenstein Library,136,Wed,03:00 PM,04:20 PM
Cochrane-Woods Art Ctr,156,Wed,01:30 PM,04:20 PM
Swift Hall,201,Mon,09:30 AM,12:20 PM
Foster Hall,305,Wed,01:30 PM,04:20 PM
Classics Building,313,Thu,03:30 PM,04:50 PM
Classics Building ,21,Thu,03:30 PM,04:50 PM
BioSci Learning Center 0,8,Wed,04:30 PM,07:20 PM
Swift Hall,208,Wed,01:30 PM,02:50 PM
Pick Hall,118,Wed,01:30 PM,04:20 PM
The Keller Center 00,1,Thu,02:00 PM,03:20 PM
BioSci Learning Center 0,8,Wed,04:30 PM,07:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Hinds Lab Geo Sci,101,Thu,02:00 PM,03:20 PM
Stuart Hall,101,Thu,11:00 AM,12:20 PM
Ryerson Phys Lab,276,Thu,02:00 PM,03:20 PM
Eckhart Hall,133,Thu,05:00 PM,06:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Goodspeed Hall,402,Thu,02:00 PM,03:20 PM
Logan Center,802,Wed,04:30 PM,05:50 PM
Wieboldt Hall,111,Wed,01:30 PM,02:50 PM
Stuart Hall ,20,Thu,02:00 PM,03:20 PM
Cobb Hall,107,Thu,12:30 PM,01:50 PM
Cobb Hall,107,Thu,03:30 PM,04:50 PM
Hinds Lab Geo Sci,101,Wed,01:30 PM,02:20 PM
Pick Hall,118,Thu,11:00 AM,12:20 PM
Cobb Hall,119,Wed,04:30 PM,05:50 PM
Social Sciences Rsch Bldg,404,Wed,01:30 PM,04:20 PM
Haskell Hall,315,Wed,01:30 PM,02:50 PM
Cobb Hall,203,Thu,11:00 AM,12:20 PM
Oriental Institute,210,Thu,02:00 PM,03:20 PM
TBA,TBA,Thu,02:00 PM,03:20 PM
Cobb Hall,301,Thu,09:30 AM,10:50 AM
Swift Hall,200,Fri,09:30 AM,12:20 PM
Stuart Hall ,20,Thu,11:00 AM,12:20 PM
Cobb Hall,218,Wed,01:30 PM,04:20 PM
Social Sciences Rsch Bldg,401,Thu,02:00 PM,03:20 PM
Cobb Hall,301,Thu,12:30 PM,01:50 PM
Cobb Hall,403,Thu,02:00 PM,03:20 PM
 S. University 10,5733,Thu,12:30 PM,01:50 PM
Social Sciences Rsch Bldg,302,Thu,12:30 PM,01:50 PM
 S. University 10,5733,Thu,09:30 AM,10:50 AM
 Building 289,1155,Fri,01:30 PM,04:20 PM
Cobb Hall,112,Thu,03:30 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
 S. University 10,5733,Wed,01:30 PM,02:50 PM
Cobb Hall,110,Wed,04:30 PM,05:50 PM
Cobb Hall,203,Thu,09:30 AM,10:50 AM
Cobb Hall,116,Thu,12:30 PM,01:50 PM
Harper Mem Library,148,Wed,01:30 PM,02:50 PM
Social Sciences Rsch Bldg,302,Wed,04:30 PM,05:50 PM
TBA,TBA,Wed,01:30 PM,02:50 PM
