TBA,TBA,TBA,TBA,TBA
Logan Center,701,Mon,03:30 PM,06:20 PM
Foster Hall,107,Wed,03:00 PM,04:20 PM
Cobb Hall,409,Thu,12:30 PM,01:50 PM
Cobb Hall,303,Thu,09:30 AM,10:50 AM
Gates-Blake Hall,321,Thu,02:00 PM,03:20 PM
 S. University 10,5733,Thu,03:30 PM,04:50 PM
Rosenwald Hall,405,Thu,12:30 PM,01:50 PM
Swift Hall,200,Wed,09:30 AM,12:20 PM
Pick Hall,218,Thu,09:30 AM,10:50 AM
Logan Center,501,Thu,03:30 PM,06:20 PM
The Keller Center 00,1,Thu,06:00 PM,07:20 PM
Social Sciences Rsch Bldg,401,Thu,11:00 AM,12:20 PM
Wieboldt Hall,111,Fri,12:30 PM,01:20 PM
Rosenwald Hall,405,Thu,11:00 AM,12:20 PM
 Building 140,1155,Thu,08:00 AM,09:20 AM
Classics Building,111,Thu,12:30 PM,01:50 PM
Pick Hall,319,Wed,09:30 AM,12:20 PM
Cobb Hall,301,Thu,02:00 PM,03:20 PM
Cobb Hall,301,Thu,03:30 PM,04:50 PM
Harper Mem Library,130,Thu,09:30 AM,10:50 AM
Beecher Hall,101,Wed,01:30 PM,02:50 PM
TBA,TBA,TBA,TBA,TBA
Oriental Institute,124,Wed,10:30 AM,11:20 AM
Rosenwald Hall,329,Thu,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
Harper Mem Library,148,Wed,03:00 PM,04:20 PM
Cobb Hall,115,Wed,04:30 PM,05:50 PM
Cobb Hall,115,Thu,03:30 PM,04:50 PM
Rosenwald Hall,329,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Wieboldt Hall,103,Wed,03:00 PM,04:20 PM
Haskell Hall,315,Thu,12:30 PM,01:50 PM
Beecher Hall,101,Wed,01:30 PM,02:50 PM
Cobb Hall,319,Wed,01:30 PM,02:50 PM
 S. University Room 10,5737,Wed,01:30 PM,04:20 PM
Pick Hall,118,Wed,01:30 PM,04:20 PM
Pick Hall,319,Wed,09:30 AM,12:20 PM
Rosenwald Hall,329,Thu,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
Social Sciences Rsch Bldg,404,Tue,12:30 PM,03:20 PM
Cobb Hall,115,Wed,04:30 PM,05:50 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Thu,09:30 AM,12:20 PM
 Building 140,1155,Thu,08:00 AM,09:20 AM
TBA,TBA,TBA,TBA,TBA
Classics Building,113,Mon,02:30 PM,05:20 PM
TBA,TBA,TBA,TBA,TBA
 S. University 10,5733,Thu,09:30 AM,10:50 AM
Rosenwald Hall,329,Wed,01:30 PM,04:20 PM
Harper Mem Library,151,Thu,02:00 PM,03:20 PM
Regenstein Library,136,Thu,04:30 PM,05:50 PM
Pick Hall,319,Thu,09:30 AM,10:50 AM
TBA,TBA,Thu,02:00 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
Cobb Hall,409,Thu,12:30 PM,01:50 PM
Saieh Hall for Economics,242,Thu,11:00 AM,12:20 PM
Swift Hall,106,Thu,12:30 PM,01:50 PM
Pick Hall,218,Mon,01:30 PM,04:20 PM
Wieboldt Hall,130,Thu,12:30 PM,01:50 PM
Swift Hall,200,Thu,12:30 PM,01:50 PM
Harper Mem Library,145,Tue,02:00 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Classics Building,113,Tue,02:00 PM,04:50 PM
Rosenwald Hall,329,Wed,01:30 PM,04:20 PM
Wieboldt Hall,103,Tue,11:00 AM,01:50 PM
Harper Mem Library,151,Thu,02:00 PM,03:20 PM
Regenstein Library,136,Thu,04:30 PM,05:50 PM
Pick Hall,319,Thu,09:30 AM,10:50 AM
Wieboldt Hall,130,Thu,12:30 PM,01:50 PM
Swift Hall,208,Wed,09:30 AM,12:20 PM
Classics Building,113,Tue,02:00 PM,04:50 PM
Social Sciences Rsch Bldg,404,Thu,02:00 PM,04:50 PM
Classics Building,113,Wed,02:30 PM,05:20 PM
Classics Building,113,Tue,09:30 AM,12:20 PM
BioSci Learning Center,240,Wed,03:00 PM,04:20 PM
BioSci Learning Center,401,Wed,01:30 PM,02:50 PM
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,324,Thu,03:30 PM,04:50 PM
TBA,TBA,Wed,05:30 PM,08:00 PM
TBA,TBA,Tue,04:20 PM,06:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
 Building 289,1155,Thu,11:00 AM,12:20 PM
 Building 29,1155,Wed,03:00 PM,04:20 PM
 Building 140,1155,Wed,04:30 PM,05:50 PM
 Building 140,1155,Thu,12:30 PM,01:50 PM
 Building 289,1155,Thu,12:30 PM,01:50 PM
 Building 29,1155,Wed,01:30 PM,02:50 PM
Eckhart Hall,133,Thu,05:00 PM,06:20 PM
TBA,TBA,TBA,TBA,TBA
Cobb Hall,107,Thu,02:00 PM,03:20 PM
Cummings Life Sci Center,101,Thu,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
Eckhart Hall,133,Wed,03:00 PM,04:20 PM
Eckhart Hall,133,Wed,03:00 PM,04:20 PM
Jones Laboratory,226,Wed,11:00 AM,12:20 PM
Jones Laboratory,226,Thu,09:30 AM,10:50 AM
Jones Laboratory,226,Wed,09:30 AM,10:50 AM
Ryerson Phys Lab,176,Thu,02:00 PM,03:20 PM
Harper Mem Library,130,Thu,11:00 AM,12:20 PM
Ryerson Phys Lab,276,Thu,09:30 AM,10:50 AM
Ryerson Phys Lab,255,Thu,12:30 PM,01:50 PM
Ryerson Phys Lab,251,Thu,09:30 AM,10:50 AM
Ryerson Phys Lab,251,Fri,09:30 AM,10:20 AM
Ryerson Phys Lab,251,Fri,11:30 AM,12:20 PM
Stuart Hall,101,Fri,09:30 AM,10:20 AM
Stuart Hall,105,Fri,09:30 AM,10:20 AM
Stuart Hall,101,Fri,10:30 AM,11:20 AM
Stuart Hall,105,Fri,10:30 AM,11:20 AM
Pick Hall ,16,Fri,09:30 AM,10:20 AM
Pick Hall ,16,Fri,11:30 AM,12:20 PM
Ryerson Phys Lab,251,Fri,01:30 PM,02:20 PM
Ryerson Phys Lab,251,Fri,02:30 PM,03:20 PM
Kersten ,55,Tue,02:00 PM,04:50 PM
Stuart Hall,105,Thu,02:00 PM,03:20 PM
Stuart Hall,104,Fri,01:30 PM,02:50 PM
Crerar Library ,11,Thu,12:30 PM,01:50 PM
Ryerson Phys Lab,276,Fri,10:30 AM,11:20 AM
Crerar Library ,11,Thu,09:30 AM,10:50 AM
Stuart Hall,101,Fri,04:30 PM,05:50 PM
Ryerson Phys Lab,251,Thu,11:00 AM,12:20 PM
Kersten Phys Teach Center,103,Thu,12:30 PM,01:50 PM
Stuart Hall,102,Wed,03:00 PM,04:20 PM
Ryerson Phys Lab,177,Thu,12:30 PM,01:50 PM
Rosenwald Hall ,11,Thu,03:30 PM,04:50 PM
Crerar Library ,11,Thu,03:30 PM,04:50 PM
Stuart Hall,102,Thu,12:30 PM,01:50 PM
Ryerson Phys Lab,251,Thu,02:00 PM,03:20 PM
Kent Chem Lab,107,Fri,01:30 PM,02:50 PM
Ryerson Phys Lab,276,Thu,11:00 AM,12:20 PM
Ryerson Phys Lab,251,Thu,03:30 PM,04:50 PM
Stuart Hall,102,Fri,10:30 AM,11:20 AM
Stuart Hall,102,Fri,11:30 AM,12:20 PM
Crerar Library ,11,Thu,11:00 AM,12:20 PM
Ryerson Phys Lab,251,Thu,12:30 PM,01:50 PM
Harper Mem Library,140,Fri,09:30 AM,10:20 AM
Ryerson Phys Lab,255,Thu,11:00 AM,12:20 PM
Toyota Technological Inst,530,Wed,01:30 PM,02:50 PM
Toyota Technological Inst,530,Thu,09:30 AM,10:50 AM
Ryerson Phys Lab,276,Wed,01:30 PM,02:50 PM
Ryerson Phys Lab,276,Wed,03:00 PM,04:20 PM
Crerar Library ,11,Thu,12:30 PM,01:50 PM
Crerar Library ,11,Thu,09:30 AM,10:50 AM
Crerar Library ,11,Thu,02:00 PM,03:20 PM
Ryerson Phys Lab,277,Thu,09:30 AM,10:50 AM
Ryerson Phys Lab,251,Thu,11:00 AM,12:20 PM
Ryerson Phys Lab,255,Wed,01:30 PM,02:50 PM
TBA,TBA,TBA,TBA,TBA
Ryerson Phys Lab,277,Thu,12:30 PM,01:50 PM
Stuart Hall,102,Wed,03:00 PM,04:20 PM
Ryerson Phys Lab,177,Thu,12:30 PM,01:50 PM
Rosenwald Hall ,11,Thu,03:30 PM,04:50 PM
Crerar Library ,11,Thu,03:30 PM,04:50 PM
Ryerson Phys Lab,277,Wed,03:00 PM,04:20 PM
Kent Chem Lab,107,Fri,01:30 PM,02:50 PM
TBA,TBA,TBA,TBA,TBA
Ryerson Phys Lab,276,Thu,09:30 AM,10:50 AM
Ryerson Phys Lab,277,Thu,02:00 PM,03:20 PM
Ryerson Phys Lab,276,Wed,04:30 PM,05:50 PM
Saieh Hall for Economics,141,Thu,09:30 AM,10:50 AM
Eckhart Hall,308,Thu,09:30 AM,10:50 AM
Ryerson Phys Lab,255,Thu,02:00 PM,03:20 PM
Toyota Technological Inst,530,Thu,11:00 AM,12:20 PM
Ryerson Phys Lab,255,Thu,09:30 AM,10:50 AM
Ryerson Phys Lab,177,Thu,02:00 PM,03:20 PM
Ryerson Phys Lab,255,Wed,03:00 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Crerar Library ,11,Mon,10:00 AM,11:30 AM
TBA,TBA,Fri,01:00 PM,04:00 PM
Crerar Library,298,Thu,05:30 PM,08:30 PM
TBA,TBA,Mon,04:10 PM,06:00 PM
Crerar Library ,11,Wed,05:30 PM,08:30 PM
Crerar Library,390,Thu,06:00 PM,08:00 PM
Ryerson Phys Lab,277,Mon,05:30 PM,08:30 PM
Ryerson Phys Lab,277,Thu,06:00 PM,08:30 PM
Crerar Library,298,Tue,05:30 PM,08:30 PM
Crerar Library ,11,Fri,02:30 PM,05:20 PM
Crerar Library ,11,Fri,05:30 PM,07:30 PM
Crerar Library,298,Fri,05:30 PM,08:30 PM
Crerar Library,298,Mon,05:30 PM,08:30 PM
Crerar Library ,11,Thu,05:30 PM,08:30 PM
Crerar Library ,11,Mon,05:30 PM,08:30 PM
Crerar Library ,11,Tue,05:30 PM,08:30 PM
Ryerson Phys Lab,277,Tue,11:00 AM,12:20 PM
Crerar Library ,11,Mon,02:00 PM,04:50 PM
Ryerson Phys Lab,276,Fri,05:30 PM,08:30 PM
Ryerson Phys Lab,251,Thu,05:30 PM,08:30 PM
Ryerson Phys Lab,277,Wed,05:30 PM,08:30 PM
Ryerson Phys Lab,251,Wed,05:30 PM,08:30 PM
Ryerson Phys Lab,251,Tue,05:30 PM,08:30 PM
Ryerson Phys Lab,276,Thu,05:30 PM,08:30 PM
TBA,TBA,Wed,10:00 AM,11:30 AM
TBA,TBA,Wed,05:15 PM,07:30 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Eckhart Hall,133,Thu,05:00 PM,06:20 PM
Cobb Hall,107,Thu,11:00 AM,12:20 PM
Social Sciences Rsch Bldg,108,Wed,09:30 AM,12:20 PM
 Building 289,1155,Fri,01:30 PM,04:20 PM
 S. University Room 10,5737,Wed,01:30 PM,04:20 PM
Stuart Hall ,20,Thu,09:30 AM,10:50 AM
William Eckhardt Rsch Ctr,583,Thu,02:00 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
 S. University Room 10,5737,Tue,12:30 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Wieboldt Hall,102,Fri,12:30 PM,03:20 PM
Midway Studios,108,Thu,12:30 PM,03:20 PM
Midway Studios,108,Thu,09:30 AM,12:20 PM
 Building 140,1155,Fri,12:30 PM,03:20 PM
Logan Center,802,Thu,02:00 PM,04:50 PM
Midway Studios,102,Thu,09:30 AM,12:20 PM
Midway Studios,102,Fri,09:30 AM,12:20 PM
Midway Studios,108,Fri,12:30 PM,03:20 PM
Midway Studios,102,Thu,12:30 PM,03:20 PM
 S. Ellis 10,5555,Wed,12:30 PM,03:20 PM
Midway Studios,108,Mon,09:30 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Logan Center ,28,Tue,09:30 AM,12:20 PM
Midway Studios,108,Tue,09:30 AM,12:20 PM
 Building 140,1155,Wed,01:30 PM,02:50 PM
Logan Center,603,Wed,01:30 PM,02:50 PM
Campus North Res Commons,154,Thu,11:00 AM,12:20 PM
 Building 140,1155,Thu,12:30 PM,01:50 PM
 Building 140,1155,Thu,02:00 PM,03:20 PM
Harper Mem Library,102,Thu,02:00 PM,03:20 PM
Harper Mem Library,135,Thu,03:30 PM,04:50 PM
Harper Mem Library,104,Thu,03:30 PM,04:50 PM
Midway Studios,108,Wed,12:30 PM,03:20 PM
Harper Mem Library,150,Tue,12:30 PM,03:20 PM
Cobb Hall,218,Thu,02:00 PM,04:50 PM
Harper Mem Library,135,Tue,12:30 PM,03:20 PM
Logan Center,603,Tue,09:30 AM,12:20 PM
Logan Center,802,Wed,12:30 PM,03:20 PM
Midway Studios,108,Mon,12:30 PM,03:20 PM
Midway Studios,108,Tue,02:00 PM,04:50 PM
Midway Studios,102,Tue,09:30 AM,12:20 PM
Midway Studios,102,Fri,12:30 PM,03:20 PM
Harper Mem Library,135,Thu,12:30 PM,03:20 PM
Harper Mem Library,102,Fri,12:30 PM,03:20 PM
Harper Mem Library,151,Tue,09:30 AM,12:20 PM
Harper Mem Library,151,Mon,02:30 PM,05:20 PM
Midway Studios,108,Thu,12:30 PM,03:20 PM
Midway Studios,108,Thu,09:30 AM,12:20 PM
 Building 140,1155,Fri,12:30 PM,03:20 PM
Logan Center,802,Thu,02:00 PM,04:50 PM
Midway Studios,102,Thu,09:30 AM,12:20 PM
Midway Studios,102,Fri,09:30 AM,12:20 PM
Midway Studios,108,Fri,12:30 PM,03:20 PM
Midway Studios,108,Wed,12:30 PM,03:20 PM
Harper Mem Library,150,Tue,12:30 PM,03:20 PM
Cobb Hall,218,Thu,02:00 PM,04:50 PM
Harper Mem Library,135,Tue,12:30 PM,03:20 PM
Logan Center,603,Tue,09:30 AM,12:20 PM
Harper Mem Library,102,Fri,12:30 PM,03:20 PM
Logan Center,802,Wed,12:30 PM,03:20 PM
Midway Studios,108,Mon,12:30 PM,03:20 PM
Midway Studios,108,Tue,02:00 PM,04:50 PM
Midway Studios,102,Tue,09:30 AM,12:20 PM
Midway Studios,102,Fri,12:30 PM,03:20 PM
Harper Mem Library,135,Thu,12:30 PM,03:20 PM
Harper Mem Library,151,Tue,09:30 AM,12:20 PM
Harper Mem Library,151,Mon,02:30 PM,05:20 PM
Cobb Hall,206,Fri,12:30 PM,01:20 PM
Cobb Hall,206,Fri,12:30 PM,01:20 PM
Ryerson Phys Lab,251,Thu,09:30 AM,10:50 AM
Ryerson Phys Lab,251,Fri,09:30 AM,10:20 AM
TBA,TBA,TBA,TBA,TBA
 S. University Ave. 11,5727,Thu,11:00 AM,12:20 PM
 S. University Ave. 11,5727,Fri,10:30 AM,11:20 AM
Ryerson Phys Lab,276,Thu,12:30 PM,01:50 PM
Stuart Hall,102,Thu,03:30 PM,04:50 PM
Crerar Library ,11,Fri,11:30 AM,12:20 PM
Eckhart Hall,133,Thu,05:00 PM,06:20 PM
Eckhart Hall,133,Thu,05:00 PM,06:20 PM
Eckhart Hall,206,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Jones Laboratory,226,Thu,03:30 PM,04:50 PM
Pick Hall,319,Thu,11:00 AM,12:20 PM
 S. University Room 10,5737,Tue,12:30 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,305,Thu,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Pick Hall,218,Thu,12:30 PM,01:50 PM
Rosenwald Hall,405,Thu,09:30 AM,10:50 AM
Pick Hall,218,Thu,11:00 AM,12:20 PM
Pick Hall,218,Thu,12:30 PM,01:50 PM
Rosenwald Hall,405,Thu,09:30 AM,10:50 AM
Pick Hall,218,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Harper Mem Library,150,Wed,03:00 PM,04:20 PM
Cobb Hall,307,Mon,03:30 PM,06:30 PM
Cobb Hall,101,Thu,02:00 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Cochrane-Woods Art Ctr,157,Thu,11:00 AM,12:20 PM
Pick Hall ,16,Wed,01:30 PM,02:20 PM
TBA,TBA,TBA,TBA,TBA
Saieh Hall for Economics,102,Thu,09:30 AM,10:50 AM
TBA,TBA,Thu,03:30 PM,04:50 PM
Cochrane-Woods Art Ctr,152,Fri,01:00 PM,04:00 PM
Wieboldt Hall,102,Thu,02:00 PM,03:20 PM
Cobb Hall,319,Wed,03:00 PM,04:20 PM
Cobb Hall,116,Wed,01:30 PM,02:50 PM
Gates-Blake Hall,321,Wed,03:00 PM,04:20 PM
Swift Hall,208,Thu,03:30 PM,06:20 PM
Wieboldt Hall,103,Thu,02:00 PM,03:20 PM
Swift Hall,208,Tue,03:30 PM,06:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Thu,03:30 PM,04:50 PM
Cobb Hall,116,Wed,01:30 PM,02:50 PM
Swift Hall,208,Thu,03:30 PM,06:20 PM
Wieboldt Hall,103,Thu,02:00 PM,03:20 PM
Swift Hall,208,Tue,03:30 PM,06:20 PM
Wieboldt Hall,102,Mon,02:30 PM,05:20 PM
Harper Mem Library,148,Thu,11:00 AM,12:20 PM
TBA,TBA,Wed,01:30 PM,04:20 PM
Pick Hall,118,Fri,01:30 PM,04:20 PM
Cochrane-Woods Art Ctr,156,Tue,03:30 PM,06:20 PM
Cobb Hall,218,Mon,01:30 PM,04:20 PM
Wieboldt Hall,102,Wed,02:30 PM,05:20 PM
Rosenwald Hall,208,Wed,01:30 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,305,Thu,09:30 AM,10:50 AM
Zoology Building,212,Thu,11:00 AM,12:20 PM
Ida B & Walter Erman Ctr,200,Wed,11:30 AM,01:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
