Building,Room,Day,Start Time,End Time
TBA,TBA,TBA,TBA,TBA
Cobb Hall,203,Fri,09:30 AM,10:20 AM
Cobb Hall,203,Fri,09:30 AM,10:20 AM
Oriental Institute,210,Thu,11:00 AM,12:20 PM
Oriental Institute,210,Thu,11:00 AM,12:20 PM
Hinds Lab Geo Sci,101,Fri,09:30 AM,10:20 AM
Midway Studios,112,Wed,01:30 PM,04:20 PM
Cochrane-Woods Art Ctr,157,Wed,03:00 PM,04:20 PM
Crerar Library,134,Fri,12:30 PM,04:50 PM
Rosenwald Hall ,11,Wed,03:00 PM,04:20 PM
Cobb Hall,115,Fri,10:30 AM,11:20 AM
Cobb Hall,115,Fri,10:30 AM,11:20 AM
Cobb Hall,107,Fri,09:30 AM,10:20 AM
Cobb Hall,107,Fri,09:30 AM,10:20 AM
Cobb Hall,107,Fri,10:30 AM,11:20 AM
Cobb Hall,107,Fri,10:30 AM,11:20 AM
Cobb Hall,115,Fri,11:30 AM,12:20 PM
Cobb Hall,107,Thu,09:00 AM,10:20 AM
Cobb Hall,115,Fri,11:30 AM,12:20 PM
Oriental Institute,208,Thu,02:00 PM,03:20 PM
Oriental Institute,208,Thu,02:00 PM,03:20 PM
Wieboldt Hall,111,Thu,11:00 AM,12:20 PM
Wieboldt Hall,111,Thu,11:00 AM,12:20 PM
Oriental Institute,210,Fri,10:30 AM,11:20 AM
TBA,TBA,TBA,TBA,TBA
Classics Building ,21,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Fri,06:00 AM,05:00 PM
TBA,TBA,Thu,06:00 AM,04:00 PM
TBA,TBA,Thu,06:00 AM,04:00 PM
TBA,TBA,Thu,06:00 AM,04:00 PM
TBA,TBA,Thu,06:00 AM,04:00 PM
TBA,TBA,Thu,06:00 AM,04:00 PM
TBA,TBA,Thu,06:00 AM,04:00 PM
Swift Hall,208,Mon,09:30 AM,12:20 PM
Swift Hall,207,Thu,11:00 AM,01:50 PM
Haskell Hall,315,Thu,12:30 PM,01:50 PM
Haskell Hall,101,Wed,01:30 PM,04:20 PM
Pick Hall,218,Fri,10:30 AM,11:50 AM
Oriental Institute,208,Wed,01:30 PM,02:50 PM
Oriental Institute,208,Wed,03:00 PM,04:20 PM
Oriental Institute,210,Mon,03:00 PM,05:20 PM
Rosenwald Hall ,11,Thu,02:00 PM,03:20 PM
Haskell Hall,315,Wed,01:30 PM,02:50 PM
TBA,TBA,Thu,02:00 PM,03:20 PM
Haskell Hall,315,Thu,12:30 PM,01:50 PM
Haskell Hall,101,Thu,03:30 PM,04:50 PM
Harper Mem Library,140,Thu,02:00 PM,03:20 PM
Rosenwald Hall,405,Thu,11:00 AM,12:20 PM
 S. University 10,5733,Thu,12:30 PM,01:50 PM
 Building 289,1155,Fri,01:30 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Wed,03:00 PM,04:20 PM
Hinds Lab Geo Sci,101,Wed,01:30 PM,02:20 PM
Haskell Hall,101,Tue,09:30 AM,12:20 PM
Foster Hall,107,Thu,11:00 AM,12:20 PM
TBA,TBA,Wed,03:00 PM,04:20 PM
Cochrane-Woods Art Ctr,152,Fri,01:00 PM,04:00 PM
 S. University 10,5733,Wed,01:30 PM,02:50 PM
Cobb Hall,110,Wed,04:30 PM,05:50 PM
Cobb Hall,203,Thu,09:30 AM,10:50 AM
Cobb Hall,116,Thu,12:30 PM,01:50 PM
Harper Mem Library,148,Wed,01:30 PM,02:50 PM
Stuart Hall,105,Wed,01:30 PM,02:50 PM
Cobb Hall,115,Wed,04:30 PM,05:50 PM
TBA,TBA,Wed,01:30 PM,02:50 PM
Pick Hall,319,Wed,03:00 PM,04:20 PM
Stuart Hall,105,Tue,09:30 AM,10:50 AM
 Building 289,1155,Tue,12:30 PM,03:20 PM
Saieh Hall for Economics,247,Wed,12:30 PM,03:20 PM
Rosenwald Hall,329,Wed,01:30 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
Harper Mem Library,148,Wed,03:00 PM,04:20 PM
Cobb Hall,301,Thu,02:00 PM,03:20 PM
Cobb Hall,301,Thu,03:30 PM,04:50 PM
Rosenwald Hall,329,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
 Building 289,1155,Fri,01:30 PM,04:20 PM
Logan Center ,28,Thu,02:00 PM,04:50 PM
 S. University Room 10,5737,Wed,01:30 PM,04:20 PM
Social Sciences Rsch Bldg,108,Wed,09:30 AM,12:20 PM
Stuart Hall,105,Tue,09:30 AM,10:50 AM
 Building 289,1155,Tue,12:30 PM,03:20 PM
Rosenwald Hall,329,Wed,01:30 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
Harper Mem Library,140,Thu,02:00 PM,03:20 PM
Social Sciences Rsch Bldg,401,Fri,03:00 PM,05:50 PM
TBA,TBA,TBA,TBA,TBA
Haskell Hall,101,Thu,03:30 PM,04:50 PM
Haskell Hall,315,Thu,12:30 PM,01:50 PM
Haskell Hall,101,Wed,01:30 PM,04:20 PM
Wieboldt Hall,102,Fri,12:30 PM,03:20 PM
Haskell Hall,101,Thu,11:00 AM,01:50 PM
Rosenwald Hall,208,Wed,01:30 PM,04:20 PM
Midway Studios,102,Tue,12:30 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Oriental Institute,208,Fri,09:30 AM,10:50 AM
Oriental Institute,208,Fri,09:30 AM,10:50 AM
Saieh Hall for Economics,247,Fri,10:30 AM,11:50 AM
Saieh Hall for Economics,247,Fri,10:30 AM,11:50 AM
Cobb Hall,425,Fri,01:30 PM,02:50 PM
Cobb Hall,425,Fri,01:30 PM,02:50 PM
Cobb Hall,425,Fri,09:30 AM,10:50 AM
Cobb Hall,425,Fri,09:30 AM,10:50 AM
Cobb Hall,205,Fri,12:30 PM,01:50 PM
Cobb Hall,205,Fri,12:30 PM,01:50 PM
TBA,TBA,TBA,TBA,TBA
Harper Mem Library,141,Wed,01:30 PM,02:50 PM
Harper Mem Library,141,Fri,11:30 AM,01:20 PM
Harper Mem Library,141,Fri,11:30 AM,01:20 PM
TBA,TBA,Wed,09:30 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Harper Mem Library,151,Thu,03:30 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
Harper Mem Library,141,Wed,01:30 PM,02:50 PM
TBA,TBA,Wed,09:30 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Harper Mem Library,151,Thu,03:30 PM,04:50 PM
Swift Hall,208,Wed,03:00 PM,04:20 PM
Harper Mem Library,151,Thu,12:30 PM,01:50 PM
TBA,TBA,TBA,TBA,TBA
Kersten Phys Teach Center,309,Thu,05:30 PM,07:30 PM
Cochrane-Woods Art Ctr,156,Thu,11:00 AM,12:20 PM
Cochrane-Woods Art Ctr,152,Thu,02:00 PM,03:20 PM
Wieboldt Hall,408,Thu,11:00 AM,12:20 PM
Cobb Hall,302,Tue,03:30 PM,04:50 PM
Crerar Library,134,Wed,03:00 PM,04:20 PM
Cochrane-Woods Art Ctr,157,Wed,03:00 PM,04:20 PM
Crerar Library,134,Fri,12:30 PM,04:50 PM
Cobb Hall,219,Thu,03:30 PM,04:50 PM
TBA,TBA,Wed,12:30 PM,03:20 PM
Cochrane-Woods Art Ctr,156,Thu,12:30 PM,03:20 PM
Social Sciences Rsch Bldg,122,Thu,12:30 PM,01:50 PM
The Keller Center,1022,Mon,04:30 PM,07:20 PM
Cobb Hall,430,Wed,12:30 PM,01:20 PM
Cobb Hall,430,Wed,12:30 PM,01:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Cochrane-Woods Art Ctr,156,Thu,11:00 AM,12:20 PM
Cochrane-Woods Art Ctr,152,Thu,02:00 PM,03:20 PM
Cochrane-Woods Art Ctr,157,Thu,09:30 AM,10:50 AM
Logan Center,201,Thu,09:30 AM,10:50 AM
Cochrane-Woods Art Ctr,157,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Cochrane-Woods Art Ctr,153,Thu,05:00 PM,06:20 PM
Rosenwald Hall,405,Wed,04:30 PM,05:50 PM
Crerar Library,134,Wed,03:00 PM,04:20 PM
Cochrane-Woods Art Ctr,152,Thu,12:30 PM,01:50 PM
Cochrane-Woods Art Ctr,152,Wed,03:00 PM,04:20 PM
Cochrane-Woods Art Ctr,153,Tue,09:30 AM,12:20 PM
Cochrane-Woods Art Ctr,152,Fri,01:00 PM,04:00 PM
Cochrane-Woods Art Ctr,157,Wed,03:00 PM,04:20 PM
Crerar Library,134,Fri,12:30 PM,04:50 PM
Cochrane-Woods Art Ctr,153,Thu,02:00 PM,04:50 PM
Cochrane-Woods Art Ctr,152,Wed,01:30 PM,02:50 PM
Cochrane-Woods Art Ctr,156,Thu,12:30 PM,03:20 PM
Cochrane-Woods Art Ctr,156,Wed,01:30 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
Campus North Res Commons,158,Tue,02:00 PM,04:50 PM
Cochrane-Woods Art Ctr,152,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Rosenwald Hall,405,Wed,04:30 PM,05:50 PM
Cochrane-Woods Art Ctr,152,Thu,12:30 PM,01:50 PM
Cochrane-Woods Art Ctr,152,Wed,03:00 PM,04:20 PM
Cochrane-Woods Art Ctr,153,Tue,09:30 AM,12:20 PM
Cochrane-Woods Art Ctr,153,Thu,02:00 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
Cochrane-Woods Art Ctr,156,Thu,12:30 PM,03:20 PM
Cochrane-Woods Art Ctr,156,Wed,01:30 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
Campus North Res Commons,158,Tue,02:00 PM,04:50 PM
Logan Center,802,Fri,10:30 AM,01:20 PM
Cochrane-Woods Art Ctr,156,Tue,03:30 PM,06:20 PM
Cochrane-Woods Art Ctr,156,Thu,03:30 PM,06:20 PM
Wieboldt Hall,102,Fri,12:30 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
Cochrane-Woods Art Ctr,156,Wed,08:30 AM,01:20 PM
Hinds Lab Geo Sci,101,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Hinds Lab Geo Sci,101,Fri,10:30 AM,11:20 AM
TBA,TBA,TBA,TBA,TBA
Hinds Lab Geo Sci,101,Thu,09:30 AM,10:50 AM
Kersten Phys Teach Center,105,Fri,01:30 PM,02:50 PM
Kersten Phys Teach Center,309,Thu,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
Kent Chem Lab,120,Thu,09:30 AM,10:50 AM
Kersten ,55,Tue,02:00 PM,04:50 PM
Hinds Lab Geo Sci,180,Thu,09:30 AM,10:50 AM
William Eckhardt Rsch Ctr,583,Thu,02:00 PM,03:20 PM
Kersten Phys Teach Center,101,Thu,02:00 PM,03:20 PM
Kersten Phys Teach Center,101,Thu,09:30 AM,10:50 AM
Kersten Phys Teach Center,309,Thu,11:00 AM,12:20 PM
William Eckhardt Rsch Ctr,545,Mon,01:30 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Kersten Phys Teach Center,309,Wed,01:30 PM,02:50 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
William Eckhardt Rsch Ctr,517,Fri,01:30 PM,02:50 PM
William Eckhardt Rsch Ctr,545,Thu,02:00 PM,03:20 PM
Kersten ,55,Tue,02:00 PM,04:50 PM
Hinds Lab Geo Sci,180,Thu,09:30 AM,10:50 AM
William Eckhardt Rsch Ctr,583,Thu,02:00 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
William Eckhardt Rsch Ctr,583,Fri,10:00 AM,11:50 AM
Foster Hall,209,Fri,12:30 PM,01:20 PM
Foster Hall,209,Fri,12:30 PM,01:20 PM
Foster Hall,408,Thu,02:00 PM,03:20 PM
Foster Hall,408,Thu,02:00 PM,03:20 PM
Foster Hall,209,Thu,03:30 PM,04:50 PM
Foster Hall,209,Thu,03:30 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
Foster Hall,209,Fri,02:30 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Cobb Hall,425,Fri,11:30 AM,12:20 PM
Cobb Hall,425,Fri,11:30 AM,12:20 PM
Wieboldt Hall,230,Thu,09:30 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Wieboldt Hall,230,Thu,09:30 AM,12:20 PM
Saieh Hall for Economics,242,Wed,01:30 PM,02:50 PM
Classics Building ,21,Wed,01:30 PM,02:50 PM
Swift Hall,403,Tue,05:00 PM,07:50 PM
TBA,TBA,Thu,09:30 AM,10:50 AM
Swift Hall,208,Thu,02:00 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Mon,11:30 AM,02:20 PM
Cobb Hall,205,Thu,02:00 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,240,Thu,03:30 PM,04:50 PM
BioSci Learning Center,305,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,205,Fri,12:30 PM,01:20 PM
BioSci Learning Center,324,Fri,08:30 AM,09:20 AM
BioSci Learning Center,324,Fri,10:30 AM,11:20 AM
BioSci Learning Center,324,Fri,12:30 PM,01:20 PM
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,318,Fri,10:30 AM,12:20 PM
BioSci Learning Center,318,Fri,02:30 PM,04:20 PM
BioSci Learning Center,210,Thu,09:30 AM,12:20 PM
BioSci Learning Center,210,Thu,02:00 PM,04:50 PM
BioSci Learning Center,318,Thu,09:30 AM,12:20 PM
BioSci Learning Center,318,Thu,02:00 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center 0,1,Fri,10:30 AM,11:20 AM
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,109,Wed,01:30 PM,02:50 PM
BioSci Learning Center,109,Wed,01:30 PM,02:50 PM
Harper Mem Library,140,Thu,02:00 PM,03:20 PM
BioSci Learning Center 0,8,Thu,11:00 AM,12:20 PM
BioSci Learning Center 0,1,Thu,03:30 PM,04:50 PM
BioSci Learning Center,109,Thu,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center 0,1,Tue,05:00 PM,06:20 PM
BioSci Learning Center 0,1,Fri,12:30 PM,01:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,240,Thu,12:30 PM,01:50 PM
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,240,Thu,03:30 PM,04:50 PM
BioSci Learning Center,313,Thu,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,313,Thu,11:00 AM,12:20 PM
BioSci Learning Center,218,Wed,01:30 PM,02:50 PM
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,401,Thu,09:30 AM,10:50 AM
BioSci Learning Center,109,Wed,01:30 PM,02:50 PM
BioSci Learning Center,109,Wed,01:30 PM,02:50 PM
BioSci Learning Center,218,Thu,11:00 AM,12:20 PM
BioSci Learning Center,305,Thu,09:30 AM,10:50 AM
BioSci Learning Center,324,Thu,09:30 AM,10:50 AM
